AE Lock Meter Mode After Focus	Evaluative
AE Microadjustment	Disable; 0; 8; 0
AE Setting	AE Lock
AE Setting	AE Lock
AEB Auto Cancel	Off
AEB Bracket Value	0
AEB Bracket Value	0
AEB Sequence	0,-,+
AEB Shot Count	Unknown (5 0)
AF Accel/Decel Tracking	2147483647
AF Area Heights	(2,107 bytes binary data)
AF Area Heights	(2,107 bytes binary data)
AF Area Mode	Spot AF
AF Area Mode	Spot AF
AF Area Select Method	Main dial
AF Area Selection Method	Main Dial
AF Area Widths	(2,107 bytes binary data)
AF Area Widths	(2,107 bytes binary data)
AF Area X Positions	(2,105 bytes binary data)
AF Area X Positions	(2,105 bytes binary data)
AF Area Y Positions	(2,107 bytes binary data)
AF Area Y Positions	(2,107 bytes binary data)
AF Assist Beam	Disable
AF Config Tool	Case 2147483648
AF Image Height	5464
AF Image Height	5464
AF Image Width	8192
AF Image Width	8192
AF Info Size	8838
AF Info Size	8838
AF Micro Adj Mode	Disable
AF Micro Adj Value	0
AF Point Display During Focus	Selected (constant)
AF Point Switching	2147483647
AF Points In Focus	(none)
AF Points In Focus	(none)
AF Points Selected	0
AF Points Selected	0
AF Tracking Sensitivity	2147483647
AI Servo First Image	Release Priority
AI Servo Second Image	Equal Priority
Add Aspect Ratio Info	Off
Add IPTC Information	Disable
Ambience Selection	Standard
Aperture	8.0
Aperture Range	Manual: Closed 64; Open 1; Auto: Closed 25; Open 2.7
Aperture Value	8.0
Artist
Aspect Ratio	3:2
Auto AF Point Sel EOS iTR AF	Enable
Auto Exposure Bracketing	Off
Auto Exposure Bracketing	Off
Auto ISO	100
Auto ISO	100
Auto Lighting Optimizer	Off
Auto Rotate	None
Auto Rotate	None
Av Setting Without Lens	Disable
Avg Bitrate	180 Mbps
Base ISO	259
Base ISO	259
Battery Type	LP-E6P
Bit Depth	24
Bit Depth	24
Bit Depth	24
Bits Per Sample	8 8 8
Black Mask Bottom Border	0
Black Mask Left Border	0
Black Mask Right Border	0
Black Mask Top Border	0
Bracket Mode	AEB
Bracket Mode	AEB
Bracket Shot Number	0
Bracket Shot Number	0
Bracket Value	0
Bracket Value	0
Bulb Duration	0
Bulb Duration	0
Camera ISO	Auto
Camera ISO	Auto
Camera Model Name	Canon EOS R5m2
Camera Temperature	24 C
Camera Temperature	24 C
Camera Type	EOS High-end
Camera Type	EOS High-end
Canon 0x0019	1
Canon 0x0032	44 1 5 3830882677 2470564406 1585267087 662025305 0 0 0 0
Canon 0x0033	968657348 2470510812 1585267087 662025305
Canon 0x003f	17
Canon 0x4011	(60 bytes binary data)
Canon 0x4012
Canon 0x4027	24 525824 1744830481 0 13684944 65793
Canon 0x402c	8 0
Canon 0x402e	(60 bytes binary data)
Canon 0x4033	(60 bytes binary data)
